origin,destination,mode,distance_km,duration_min,congestion_level,co2_emission,user_preference_score,custom_score
Penang International Airport,Komtar,walking,16.58,227.15,0.37,0.0,0.2,-1.116
Penang International Airport,Komtar,transit,22.96,53.18,0.96,1.148,0.4,-0.915
Penang International Airport,Komtar,driving,18.89,31.08,0.6,3.968,-0.2,-2.556
USM Penang,Gurney Plaza,walking,9.52,133.12,0.99,0.0,0.2,-0.646
USM Penang,Gurney Plaza,transit,15.43,41.5,0.64,0.772,0.4,-0.63
USM Penang,Gurney Plaza,driving,9.83,17.13,0.84,2.065,-0.2,-1.344
Balik Pulau,Penang Bridge,walking,31.06,432.28,0.49,0.0,0.2,-2.141
Balik Pulau,Penang Bridge,driving,32.73,38.38,0.91,6.873,-0.2,-4.336
Penang Hill,Queensbay Mall,walking,11.89,162.13,0.75,0.0,0.2,-0.791
Penang Hill,Queensbay Mall,transit,16.69,48.5,0.79,0.834,0.4,-0.703
Penang Hill,Queensbay Mall,driving,14.02,21.85,0.7,2.944,-0.2,-1.895
